#{"t_start": 1629966016.1412914, "env_id": "ShipNav-v7"}
r,l,t
-5.10685,185,94745.559189
-5.474338,886,94944.429419
0.55725,910,95138.80996
0.805908,521,95201.76266
0.740858,590,95274.065312
0.814717,450,95381.308004
0.6469,622,95485.041552
0.659658,899,95617.788929
-5.595406,902,95786.260309
0.8831,276,95833.088275
0.772014,480,95894.7001
-5.4527,708,96020.712643
0.857442,355,96069.964159
0.79615,356,96167.861211
0.597775,917,96288.34914
0.14452,1132,96507.533034
0.830148,404,96554.747923
0.78525,446,96674.155359
0.629475,739,96758.040112
-5.362075,625,96885.79991
-5.211898,283,96922.285652
0.850175,334,96958.880753
0.79825,516,97063.120657
0.882,289,97093.589208
-5.388875,638,97225.230075
0.198147,1395,97459.00129
0.922967,200,97481.239576
0.623275,914,97648.882441
0.6559,786,97738.129827
-5.52497,792,97892.335033
0.768267,590,97957.928099
0.775439,432,98069.365242
0.824884,360,98113.94728
0.440812,948,98296.620819
-5.131925,204,98321.209996
0.734134,362,98360.089753
-5.130375,195,98380.512069
0.692383,827,98516.713012
0.632054,559,98579.727224
-5.239646,271,98661.464362
0.599653,914,98762.68487
0.876492,191,98847.305642
0.855142,383,98913.400539
0.775408,399,98958.777825
0.691008,485,99066.813319
0.821775,409,99111.512931
0.497925,779,99215.128047
0.506408,754,99357.620192
0.539534,987,99528.901768
-5.252572,347,99573.016037
-0.074219,1666,99805.020744
0.693132,399,99899.382825
0.237099,1170,100090.315699
-5.317202,488,100162.574039
0.858917,367,100208.682485
0.7714,342,100306.207186
0.530492,798,100399.98759
0.904575,262,100469.510665
0.735783,636,100545.957502
0.808003,264,100577.618195
0.617742,715,100690.295139
-5.34355,434,100739.446461
0.64625,822,100889.401437
0.222522,1306,101086.536391
0.699558,670,101180.695442
0.726467,591,101281.28443
0.615321,562,101345.520345
0.664142,699,101483.321643
-5.297967,629,101548.031417
0.645725,596,101691.183887
0.733943,509,101768.979672
0.787932,360,101836.543507
0.402783,1204,102035.842556
0.729933,633,102129.166564
0.836333,331,102166.865597
0.7609,653,102277.123439
0.654599,519,102340.539537
0.204662,1128,102529.53421
0.42115,1384,102759.231924
0.81305,380,102864.233809
0.654319,492,102926.578479
-5.358575,453,102980.330726
0.749858,586,103115.428925
0.85846,185,103156.122073
0.703,812,103291.493057
0.769542,527,103354.078773
0.825258,468,103410.873772
0.664725,733,103570.497903
0.497265,761,103724.714233
0.384055,993,103858.854955
0.677833,548,103960.008881
0.525715,816,104057.774065
0.918575,215,104132.699686
0.803842,455,104197.49353
0.816075,398,104243.238585
0.805167,355,104336.347357
-5.161235,233,104361.479693
0.213933,1452,104562.698285
-5.318327,509,104624.184855
0.437355,943,104803.053058
0.838958,348,104839.407598
0.618448,632,104944.55813
0.8058,475,104997.948332
0.844122,232,105027.034502
0.647759,540,105141.043972
0.147682,1136,105314.447335
0.785,485,105372.897079
0.855317,331,105427.694612
-0.443002,2588,105887.809312
0.693458,571,105960.694857
0.30692,993,106152.871015
0.479327,717,106260.200694
0.780567,580,106366.110279
0.554568,797,106464.39895
0.8132,398,106531.11187
0.627483,805,106621.478172
0.53075,1126,106848.757972
0.550343,740,106991.473388
0.5693,850,107183.189885
0.647475,696,107266.542082
0.759545,445,107372.961721
-5.555191,978,107505.28855
0.690358,680,107615.817031
0.619342,784,107708.532008
-2.898137,3000,108308.643332
0.749467,477,108365.368962
-5.235341,338,108473.431443
0.591967,928,108600.927018
0.587304,689,108728.255616
0.393544,1215,108943.606484
0.68285,519,109004.482331
0.635764,728,109130.624948
-5.225767,429,109186.996902
0.579967,780,109339.751542
0.859915,281,109378.956622
0.596214,728,109493.944555
-0.480979,2091,109791.239714
0.62179,561,109897.35455
0.664442,812,109984.05625
0.589573,582,110086.954107
0.322052,1156,110293.764112
0.537042,862,110389.41598
0.638575,850,110538.288961
0.545176,945,110706.145399
0.668681,558,110765.824423
0.6616,751,110937.288867
0.643214,517,111008.225607
0.355214,1189,111236.799477
