#{"t_start": 1629966016.4692197, "env_id": "ShipNav-v7"}
r,l,t
-2.606138,3000,643.291846
-5.281094,519,701.293911
-2.349708,3000,1499.096202
-6.507394,2334,2011.592096
-5.247307,294,2040.955536
-5.622238,861,2311.207031
-2.883014,3000,2953.411505
-2.329517,3000,3616.365364
-2.457421,3000,4258.420561
-5.213377,298,4290.495511
-5.339807,424,4336.724948
-5.151196,212,4360.121378
-5.323324,465,4563.598833
-2.738665,3000,5188.069441
-5.106237,140,5204.898017
-5.8528,1324,5576.233362
-5.29568,411,5810.132433
-6.402494,2520,6385.635906
-2.581836,3000,7105.327067
-2.403867,3000,7911.526194
-2.499975,3000,8553.750558
-2.523332,3000,9307.280389
-2.742515,3000,10205.912649
-2.622875,3000,10910.555607
-5.663008,1050,11207.05684
-5.194776,322,11264.056276
-5.355795,639,11534.790125
-0.333121,2048,11987.360782
-5.139441,209,12216.276134
-2.744033,3000,12876.740126
-2.602806,3000,13593.916028
-2.429543,3000,14492.369104
-2.614612,3000,15252.028724
-2.569145,3000,16148.496652
-5.363104,598,16244.458054
-2.339133,3000,17078.043871
-2.453267,3000,18047.77686
-2.364975,3000,18793.410112
-2.252733,3000,19646.945359
-2.342808,3000,20324.868967
-2.184708,3000,21112.823098
-2.289449,3000,22007.59249
-2.159158,3000,22683.123869
-5.12495,213,22710.421961
-0.047542,2164,23326.771555
-2.229225,3000,24251.305864
-2.367735,3000,24974.263579
-2.207033,3000,25747.672606
-2.241882,3000,26554.816453
-2.1535,3000,27243.157361
-2.35625,3000,28242.739673
-2.236963,3000,28853.874981
-5.199135,365,28897.084106
-2.141533,3000,29762.315873
-2.183492,3000,30543.675159
0.885458,304,30581.080012
-2.1349,3000,31488.695922
-2.457601,3000,32299.870241
-2.306335,3000,33107.978539
0.231646,1960,33676.237178
-0.119433,2855,34458.877366
0.766958,624,34765.731951
-2.27763,3000,35529.763074
-2.549792,3000,36451.015613
-2.115792,3000,37230.419405
-2.224108,3000,37963.458328
-2.270001,3000,38855.671428
-2.162567,3000,39564.904387
-6.096764,1668,40142.475808
-2.061542,3000,40928.833111
-2.191167,3000,41656.543344
-2.097067,3000,42512.432186
-5.136029,201,42535.043913
-2.087667,3000,43244.744393
-2.192397,3000,44050.559153
-2.246085,3000,44786.690889
-2.076517,3000,45601.819397
-2.341658,3000,46317.004498
-5.11605,215,46353.487163
-2.131808,3000,47068.92721
-2.380733,3000,47963.670157
-2.165283,3000,48657.951237
-2.117467,3000,49485.950729
-2.270792,3000,50311.361931
-5.123383,193,50333.528236
-5.435225,1042,50647.019559
-2.576504,3000,51420.623611
-2.082142,3000,52299.06347
-5.407925,591,52385.898738
-5.219183,379,52550.415964
-5.197842,277,52582.299542
-2.174567,3000,53239.243306
-2.253173,3000,54237.919674
-5.421919,715,54333.228753
-2.088433,3000,55134.593658
-2.049792,3000,55938.814157
-5.399084,622,56253.367406
-5.168003,284,56296.104669
0.213173,1669,56670.824339
-2.197899,3000,57537.340708
-2.704002,3000,58196.451122
-2.306516,3000,58940.460555
-2.200216,3000,59804.563463
0.116233,2342,60460.081483
-2.303503,3000,61312.211301
-2.215233,3000,61876.70289
-5.315618,543,62102.254961
-2.629683,3000,62678.294673
-5.434125,717,62935.153625
-2.316057,3000,63602.470832
-2.096125,3000,64475.865203
-5.459713,605,64577.287896
-5.267092,599,64846.898251
-2.125583,3000,65623.128711
-2.167658,3000,66312.742785
-2.287375,3000,67153.695002
-5.890417,1976,67534.999777
-2.11795,3000,68404.338396
-2.159368,3000,69186.505161
-2.194612,3000,70098.22738
0.759375,457,70153.162078
0.319347,1416,70495.005337
-2.146625,3000,71158.327703
-2.161733,3000,72056.137875
-5.151159,222,72084.21528
-5.900265,1756,72486.31249
-2.232375,3000,73384.861546
-2.095625,3000,74087.58554
-2.375325,3000,74995.118497
-2.091408,3000,75701.260388
0.294301,1067,76059.801423
-2.294678,3000,76801.444196
-2.435251,3000,77705.688784
-0.188875,2509,78298.069058
0.173467,1998,78738.814291
0.293777,1678,79304.373096
-2.333302,3000,79975.464289
-5.151893,249,80003.545687
-0.437055,2913,80832.134969
-0.054326,2280,81224.85736
-5.37135,907,81511.448843
-5.174812,264,81557.782673
0.356742,1522,82055.336752
0.052992,2517,82632.098894
-0.130864,2278,83108.342452
-2.376638,3000,83933.246716
0.048292,2188,84395.797477
0.384983,1431,84630.205792
0.222294,1543,84981.648348
-5.387442,765,85200.077685
