#{"t_start": 1629966016.3038104, "env_id": "ShipNav-v7"}
r,l,t
-5.145839,236,30.820452
-5.159631,227,59.360813
-5.176705,330,100.629267
-5.253933,440,152.424827
-2.37095,3000,954.053806
-2.967356,3000,1579.372458
-5.678175,1263,1862.825423
-5.477373,690,2045.055099
-5.224042,333,2080.982456
-5.928442,1912,2616.721245
-5.838907,1534,2948.655043
-5.165071,228,2973.405517
-5.280026,385,3013.130217
-5.845586,1294,3332.177302
-5.1607,271,3516.636015
-5.914408,1494,3764.016936
-3.178215,3000,4326.592103
-2.836036,3000,5102.855488
-2.641708,3000,5856.075486
-2.566217,3000,6480.992449
-2.575073,3000,7380.709534
0.525767,1029,7632.736582
-2.356208,3000,8278.442502
-5.214119,323,8320.265306
-2.597587,3000,9198.060111
-2.279375,3000,9990.034143
-5.597801,922,10217.398928
-5.188267,327,10267.359969
-5.654151,928,10537.850015
-5.866883,1756,10926.465625
-2.344981,3000,11868.189664
-2.775951,3000,12572.27589
-2.351634,3000,13328.338144
-2.267008,3000,14165.867247
-5.788308,1566,14557.867048
-2.513888,3000,15306.651784
-2.285042,3000,16204.379842
-0.004875,2269,16958.320184
-2.380658,3000,17785.286121
-5.195548,364,17829.314573
-2.303233,3000,18730.160194
-5.487538,1066,19025.046788
-2.153942,3000,19722.936426
-5.404548,766,19952.288384
0.896883,234,19981.024579
-2.329082,3000,20707.807884
-5.219617,440,20991.439543
-2.155725,3000,21718.799476
-2.317414,3000,22370.969055
-2.332288,3000,23283.029064
-2.258425,3000,24042.369515
-2.143383,3000,24924.841217
-2.160517,3000,25695.107603
-2.402033,3000,26383.978543
-2.187292,3000,27191.20009
-2.128375,3000,27982.653546
-2.486707,3000,28795.484308
-2.097733,3000,29487.330008
-2.169017,3000,30232.542081
-2.667378,3000,31233.341247
-2.229841,3000,31922.957347
-2.221467,3000,32966.928708
-2.188767,3000,33671.480685
-2.147008,3000,34471.817893
-2.137608,3000,35451.646689
-2.108908,3000,36212.298475
-2.118558,3000,37175.230293
0.5836,943,37291.972517
0.565746,970,37548.406872
-2.162825,3000,38520.807335
-2.241133,3000,39179.501205
-5.21597,246,39205.019524
-5.716823,1130,39535.565267
-2.10885,3000,40267.114065
-2.2287,3000,41309.982031
-2.1076,3000,41970.726872
0.093722,2314,42560.214724
-5.154159,189,42587.444178
0.60616,851,42906.336855
0.797842,426,42961.845249
0.721296,396,43125.275242
-2.102333,3000,43811.368573
-2.308233,3000,44515.84951
-2.104008,3000,45297.789847
-5.164244,269,45328.082876
-5.408325,667,45602.671556
-2.597392,3000,46317.8065
-2.176453,3000,47042.533214
-2.247842,3000,47936.877112
-2.255232,3000,48631.597094
-2.09145,3000,49458.695913
-2.26833,3000,50285.929768
-2.419233,3000,51036.939876
-5.267654,398,51290.400931
-2.113942,3000,52033.484434
0.209107,1293,52341.925468
-2.278864,3000,53002.825629
-2.137797,3000,53923.667472
-2.083492,3000,54617.59192
-2.066017,3000,55473.21288
-2.522018,3000,56352.14314
-2.252926,3000,57012.629782
