#{"t_start": 1629966015.817919, "env_id": "ShipNav-v7"}
r,l,t
-5.718074,1115,140.1474
-2.518297,3000,942.075487
-5.638925,1269,1222.95985
-2.682045,3000,1852.860122
-2.384875,3000,2612.880898
-5.386783,536,2664.351296
-2.600943,3000,3337.889607
-6.494647,2509,3864.444082
-5.253792,458,3997.439511
-2.613752,3000,4634.799042
-5.583685,607,4835.51604
0.363383,1451,5137.091586
-2.736633,3000,5894.778594
-2.774672,3000,6692.887677
-5.515958,803,6799.938143
-5.571002,832,7062.818867
-5.710875,1504,7444.40606
-2.508958,3000,8205.760851
-5.08695,135,8223.932507
0.656625,817,8326.678689
-2.754999,3000,9204.755172
-2.529833,3000,9995.635084
-2.325583,3000,10790.315254
-2.505515,3000,11560.556093
0.220188,1640,11963.014983
-5.265633,495,12229.017967
-2.322917,3000,12892.771034
-2.352,3000,13609.43582
-2.303983,3000,14505.329648
-2.262492,3000,15267.849193
-5.511691,675,15567.254413
0.10555,2077,15993.383859
-2.31113,3000,16981.623357
-5.369095,454,17041.492866
-2.389925,3000,18010.693027
0.005425,2351,18500.65799
-5.161144,224,18711.301597
0.754358,403,18757.694638
0.406948,984,19044.441726
0.7335,630,19129.269524
-2.378117,3000,19954.694388
0.219408,1975,20356.202481
0.8856,287,20390.605428
-2.185817,3000,21337.161792
-2.189958,3000,22072.403958
-2.1862,3000,22962.551657
-2.213883,3000,23639.749246
-2.154375,3000,24401.277018
-2.213842,3000,25287.646092
0.516958,1084,25647.422272
0.76865,594,25731.520757
-2.131233,3000,26540.174699
0.756932,437,26589.9738
-2.145675,3000,27285.291509
-2.145058,3000,28281.150174
-5.199318,297,28332.352001
-5.15653,210,28361.366897
-2.346222,3000,29147.11302
-2.171933,3000,29830.422395
-2.27295,3000,30603.683974
-2.343972,3000,31503.354574
-2.448976,3000,32318.903914
-2.470882,3000,33263.474761
-2.151817,3000,34026.989191
-2.506688,3000,34872.308517
-2.134158,3000,35806.505663
-2.102658,3000,36530.286088
-2.35385,3000,37459.620047
-2.18682,3000,38246.18026
-5.137425,273,38279.624884
-2.110408,3000,39137.589619
-5.218017,450,39183.768332
-2.362841,3000,39901.91275
-2.394558,3000,40900.119765
-5.152328,205,40924.70778
-2.089675,3000,41652.537066
-2.1597,3000,42508.262225
-2.0726,3000,43201.443827
-5.290687,606,43516.835906
-2.085483,3000,44088.493532
0.238183,1965,44705.477918
-2.226558,3000,45327.568152
-2.059592,3000,46072.165296
-2.140967,3000,46961.666296
-2.076675,3000,47668.288401
-5.232944,478,47907.243452
-5.309091,702,48017.188468
-0.375785,2791,48668.522715
-5.207058,444,48878.751573
-2.376383,3000,49574.830331
-2.219208,3000,50568.931119
-2.1531,3000,51341.320063
-2.091517,3000,52080.356188
0.257949,1762,52560.603235
-2.061817,3000,53216.121496
-2.130558,3000,54211.223004
-2.081042,3000,54856.316475
