#{"t_start": 1629966015.979984, "env_id": "ShipNav-v7"}
r,l,t
-2.540592,3000,643.673438
-5.145067,191,665.511607
-5.254551,382,707.188082
-2.399783,3000,1506.343248
-5.844793,1188,1778.886368
-5.12745,237,1803.065132
-5.2278,413,1855.111641
-2.481682,3000,2615.208945
-5.191696,308,2644.985029
-5.925392,1954,3022.69199
-6.481205,2110,3591.361477
-5.161499,286,3624.112833
-6.429712,2613,4114.192452
-5.141564,232,4248.944252
-5.784758,1224,4531.588654
-2.613809,3000,5157.817499
-2.624617,3000,5916.125358
-6.173403,1837,6408.481549
-2.500908,3000,7127.481709
-5.186172,256,7159.77316
-2.401308,3000,7965.904463
-2.556043,3000,8617.51366
-2.717273,3000,9543.373418
-2.440104,3000,10266.866034
-2.452725,3000,10962.653786
-2.461583,3000,11915.228938
-5.381805,608,11983.692876
-2.567108,3000,12844.903924
-2.45275,3000,13568.387952
-2.383358,3000,14462.490344
-2.52407,3000,15219.377455
-2.191225,3000,15983.745857
-2.437649,3000,16971.007555
-2.279817,3000,17795.153307
-2.40295,3000,18697.308332
-5.395802,566,18763.661336
-2.399155,3000,19526.995564
-2.276124,3000,20296.606352
0.595367,862,20582.463573
-2.188742,3000,21341.436923
-2.176333,3000,22076.356929
-2.340247,3000,22966.912495
-2.41,3000,23644.03895
-2.267042,3000,24582.601142
-2.18195,3000,25291.310666
-2.266508,3000,26046.084066
-2.157192,3000,26874.026847
-6.242825,2985,27558.934527
-5.55199,770,27904.427518
-2.114717,3000,28628.745842
0.872342,323,28666.434644
-2.242061,3000,29454.25339
-5.335275,809,29551.519188
0.761458,476,29788.901125
-2.304575,3000,30571.583524
-5.268209,372,30766.937899
-2.283992,3000,31531.181554
-2.500612,3000,32339.517947
-2.102683,3000,33278.834721
-2.3245,3000,34042.6105
-5.283763,419,34091.336149
-5.18285,304,34344.229943
-2.256542,3000,35161.612148
-2.186267,3000,35910.380791
-5.372139,580,36177.395117
-2.112183,3000,36928.059585
-2.134658,3000,37836.242708
-2.146275,3000,38609.585141
-5.292514,508,38820.213548
-0.160327,2873,39507.147644
0.4592,1169,39813.868835
-2.175067,3000,40624.66216
-2.246081,3000,41527.002356
-2.271694,3000,42212.993397
-2.140258,3000,42980.918162
-5.184312,313,43134.708735
-2.292042,3000,43820.163667
-2.063858,3000,44526.688264
-2.171027,3000,45306.446276
-2.670525,3000,46051.865564
-5.618175,1476,46400.352622
-2.344293,3000,47297.759516
0.851983,393,47347.288116
-2.201708,3000,48198.495785
-2.1249,3000,48910.174465
-2.282976,3000,49610.476574
-5.162958,301,49858.141748
-2.091417,3000,50632.153619
-2.880258,3000,51407.120275
-5.524436,824,51699.360983
0.549208,991,51997.802363
-2.053975,3000,52631.105538
-2.200966,3000,53513.214307
-2.066333,3000,54295.509071
-2.136175,3000,54952.590427
-5.1336,197,55126.091929
-2.068908,3000,55927.628195
-2.260292,3000,56730.465701
-2.215908,3000,57578.541287
0.881967,336,57615.523539
-5.73095,1686,57966.883123
-2.524811,3000,58871.071237
-5.412699,529,58929.4419
-2.084958,3000,59793.636182
-2.5743,3000,60550.097346
-2.266506,3000,61381.212748
0.731295,571,61532.991671
-2.09305,3000,62176.684086
0.718567,605,62331.023275
-2.183283,3000,62995.335392
0.702483,640,63196.688803
-2.064783,3000,63877.641232
-0.159296,1996,64491.394295
-2.116508,3000,65300.594995
-2.088325,3000,66047.623294
-5.344016,789,66277.400437
-2.37734,3000,67118.80239
-5.528158,928,67237.547399
-2.099,3000,68051.25039
-2.218692,3000,68863.891662
-2.130742,3000,69661.726814
-6.198938,2713,70424.334058
0.448656,1240,70681.397175
-5.124499,218,70702.673382
-2.192758,3000,71487.644903
-2.161158,3000,72348.530853
-2.20945,3000,73093.512508
-5.339049,595,73170.774723
0.059704,1715,73717.236587
0.632083,728,73811.006011
-2.1061,3000,74747.43974
-5.123408,212,74787.185053
-0.067402,2352,75325.808417
0.222792,2043,75794.255455
-2.506971,3000,76743.781504
-5.156117,313,76781.679559
0.571042,1103,77125.046677
-0.157017,2938,77803.150642
0.119637,2282,78383.422222
-5.250849,385,78617.368327
0.850975,391,78663.595124
-5.609218,1034,78969.563951
0.677148,571,79062.717026
0.139741,1866,79638.155912
-2.3081,3000,80262.823585
0.084576,1921,80831.824398
-2.17865,3000,81488.535313
-0.3371,2674,82148.349395
-0.378485,2708,82740.577891
0.823508,471,82979.182785
-0.239154,2048,83382.245894
0.738405,537,83612.391953
-5.175623,235,83655.782534
-0.164442,2403,84181.790195
0.359979,1239,84435.433979
-0.352681,2172,84903.358686
-0.291464,2234,85322.926787
-5.316239,558,85493.359607
0.747028,531,85553.152311
0.386917,971,85746.562036
0.209406,1478,85983.122191
0.047676,1763,86376.874289
-5.489119,728,86466.36771
-5.386826,511,86599.854337
0.8494,401,86641.986564
0.646872,620,86720.713133
-5.516063,980,86903.766713
0.703308,737,87066.175668
0.706408,678,87141.764637
0.575353,735,87331.560609
-5.180708,333,87370.053318
-5.187764,307,87406.000135
0.829817,333,87515.339719
0.780425,380,87556.130149
0.510754,838,87754.403319
-0.231858,1740,88020.932041
0.88715,235,88047.716787
0.732242,632,88155.338651
-5.1288,228,88183.845378
0.55515,869,88344.568722
-5.153658,213,88368.835439
0.518825,945,88512.829785
0.652544,511,88570.739342
-5.142524,197,88607.090491
0.806111,355,88647.172874
-5.145289,223,88744.419068
0.02435,2222,89060.58952
0.245772,1125,89268.810258
-0.054868,1617,89657.598406
0.143084,1281,89894.922544
-5.232788,332,89937.02247
0.385084,1310,90179.435999
-2.466142,3000,90676.768301
0.8295,312,90709.439961
0.835985,240,90783.879403
0.5993,820,90908.819398
0.623225,915,91087.32908
0.545627,679,91219.336078
0.414514,947,91352.133691
0.464433,1114,91591.923998
0.604342,1054,91763.685909
0.408698,859,91922.360402
0.647517,682,91994.635333
0.738667,616,92138.112784
0.81245,355,92180.798497
-5.232231,246,92215.305632
0.7993,322,92339.724575
0.524817,875,92436.987731
0.613933,808,92600.865243
-5.274162,475,92676.810349
0.436588,900,92824.215744
-5.591112,776,93009.740994
-5.768058,1365,93220.527792
0.861848,314,93260.102604
0.797617,533,93331.483076
0.476888,1092,93525.337298
0.841883,340,93607.288796
0.213717,1583,93840.435138
0.571033,839,93946.907231
0.678333,652,94091.881126
0.649024,650,94231.809197
0.671068,468,94289.376063
0.420511,1176,94494.005538
-5.53441,747,94583.859561
-5.11965,206,94657.059447
0.697325,431,94719.962311
0.490867,878,94909.303069
0.869342,257,94945.93968
-5.300348,349,94990.821773
0.860133,379,95039.579967
0.705517,508,95180.218925
-5.31236,461,95233.150917
0.757833,591,95354.360965
0.744392,459,95424.536628
0.712367,676,95565.393647
0.717008,582,95620.584756
0.8914,265,95648.936669
0.46848,989,95844.900296
-5.778874,1061,96017.674667
0.889783,297,96057.455517
0.769642,465,96170.978368
0.747783,662,96257.022171
0.813392,333,96302.636905
0.60905,578,96432.158557
0.330878,749,96543.971296
0.545232,809,96704.105983
0.773209,318,96739.975868
