#{"t_start": 1629966017.0798607, "env_id": "ShipNav-v7"}
r,l,t
-5.756575,1160,143.864185
-2.724925,3000,945.604215
-5.892701,1573,1251.974864
-2.62345,3000,1888.0737
-5.183929,268,2025.749932
-5.218621,338,2061.000276
-5.792016,1232,2379.025349
-5.442577,749,2605.786465
-2.49935,3000,3255.93704
-2.915461,3000,3849.220104
-5.434852,912,4042.41199
-5.747916,1444,4330.140123
-5.140642,233,4355.930638
-2.327292,3000,5132.179536
-2.6745,3000,5889.361772
-5.266017,406,6042.317351
-5.596275,799,6146.354143
-5.720682,1267,6453.776078
-5.225554,328,6501.924987
-5.133327,246,6693.139302
-2.599883,3000,7428.465058
-5.474521,830,7659.984911
-6.857858,2890,8278.858823
-2.521056,3000,8972.866417
-2.623997,3000,9953.778201
-2.495299,3000,10589.098601
-2.716367,3000,11518.952994
-2.549023,3000,12292.153816
0.458084,715,12499.83734
-2.443852,3000,13255.257071
-2.403021,3000,13987.5642
-2.379874,3000,14868.243504
-2.322225,3000,15625.787489
-5.161033,282,15670.745918
-5.182413,243,15875.720906
-2.324625,3000,16593.862497
-5.383553,752,16945.494385
-2.433343,3000,17774.051364
-2.2305,3000,18491.261192
-2.314833,3000,19439.187094
-2.214467,3000,20040.514504
-2.284758,3000,20995.22408
-2.82034,3000,21722.926581
-2.210442,3000,22375.066991
0.295778,1308,22721.770144
-2.222483,3000,23609.386789
0.605842,1029,23947.559593
0.801108,334,24009.41708
-2.269383,3000,24702.718421
-2.144858,3000,25648.742865
0.78765,376,25704.599226
-2.358278,3000,26394.686176
-2.19666,3000,27199.845259
-6.139499,2410,27915.730253
-2.233858,3000,28640.32223
-2.434862,3000,29428.187784
-5.395855,676,29508.1405
-2.284483,3000,30457.209002
-2.174958,3000,31253.190554
-2.149092,3000,31940.633856
0.890692,210,32211.988223
-2.376868,3000,33021.570403
-2.203808,3000,33712.592671
-2.109,3000,34745.050167
-5.385531,717,34852.110818
-2.435592,3000,35789.100429
-5.172986,275,35824.271673
-2.159058,3000,36544.726033
-2.339406,3000,37479.629189
