#{"t_start": 1629966016.91352, "env_id": "ShipNav-v7"}
r,l,t
-5.691925,1367,274.063779
-5.175462,201,298.824411
-5.112458,162,318.365228
-5.591637,834,590.065759
-2.415625,3000,1236.604496
-2.645019,3000,1870.97941
-0.293402,2065,2385.149044
-2.612586,3000,3017.603815
-6.791092,2842,3744.819179
-5.195717,330,3781.552046
-5.472751,632,3863.980384
-2.575661,3000,4566.319497
-5.2223,339,4620.862185
-2.36935,3000,5419.698558
-5.298317,428,5476.701453
-5.173816,227,5506.09343
-2.834742,3000,6179.202299
-5.839898,1095,6468.76042
-5.184175,317,6677.052336
-2.569483,3000,7412.607266
-5.397755,561,7477.348244
-5.62915,1232,7772.964937
-5.681954,1354,8081.392336
-2.511117,3000,8884.621444
-2.720346,3000,9668.579308
-5.170942,285,9900.246998
-5.252733,473,9962.084909
-2.380492,3000,10596.766602
-5.736283,1015,10904.388472
-5.249775,491,10963.936356
-2.735453,3000,11916.522862
-2.42721,3000,12613.711079
-2.623989,3000,13491.761419
-2.491492,3000,14203.053278
-6.23443,2640,14936.186085
-2.340643,3000,15871.896407
-2.4328,3000,16590.417671
-5.573821,811,16949.93865
-2.281208,3000,17778.26748
-2.614055,3000,18496.017428
-2.58651,3000,19443.422531
-2.244108,3000,20044.917643
-5.658793,1006,20328.968526
-2.22135,3000,21116.858311
-2.384605,3000,22012.279338
-2.177667,3000,22687.610038
-2.245575,3000,23580.571187
-2.143983,3000,24340.847557
-2.2141,3000,25062.782311
-5.152005,217,25254.192832
-2.186983,3000,25998.365348
-5.206715,340,26044.815408
0.598542,954,26327.778717
0.58448,583,26526.324214
-2.128525,3000,27210.617001
-2.164767,3000,28005.077621
-5.225781,342,28255.029804
0.550299,806,28372.666641
-2.131692,3000,29156.972013
-2.529106,3000,29841.993674
-2.144242,3000,30616.280212
-2.175442,3000,31525.243027
-5.312233,630,31589.249068
-2.115483,3000,32622.92037
-2.2483,3000,33352.776946
-2.569906,3000,34325.513784
-5.145634,185,34348.045804
-2.358638,3000,35165.785857
-2.384507,3000,36101.351637
-2.219517,3000,36868.302966
0.568711,721,36946.864665
-2.205708,3000,37873.531667
-2.104825,3000,38627.919822
-2.353742,3000,39467.21567
-2.175,3000,40219.489781
-5.208575,394,40262.58902
-2.270815,3000,41304.44442
-2.141908,3000,41965.630212
-5.263192,573,42150.321171
-2.498308,3000,42931.42735
-2.1991,3000,43619.987314
0.028334,2391,44142.254048
0.680333,744,44453.196732
-2.192367,3000,45190.531384
-2.180417,3000,45985.109905
-5.749387,1171,46288.593589
-5.842769,1801,46716.392197
-2.0708,3000,47560.924422
-2.253357,3000,48270.513498
-2.395769,3000,48981.918785
-2.404484,3000,49888.670272
-5.346961,601,49971.243416
-5.111025,174,49993.849091
-2.09125,3000,50966.543229
-2.109058,3000,51720.857122
-2.1849,3000,52538.422744
-2.198608,3000,53189.052818
0.632658,900,53522.844728
-5.1279,249,53561.096878
-2.158108,3000,54338.848782
-2.052275,3000,55139.719537
-2.22185,3000,55945.230609
-2.252176,3000,56745.546722
-2.617917,3000,57591.878419
-2.079642,3000,58257.94744
0.768633,498,58501.60224
-5.501433,1064,58821.444753
-2.152108,3000,59606.042531
-2.226531,3000,60228.924171
-2.217459,3000,61277.729772
-2.185233,3000,61838.081326
-2.090908,3000,62577.18265
-2.113217,3000,63230.668204
0.777611,327,63263.282609
-2.378847,3000,64088.254955
-2.341233,3000,64925.039489
-0.257956,2630,65658.33201
-2.086333,3000,66479.626898
-2.14125,3000,67175.564365
-2.17855,3000,67851.738883
-6.004003,1757,68400.310824
-2.385992,3000,69181.754202
-2.405605,3000,70093.787399
-2.1871,3000,70716.699718
-2.1158,3000,71507.193751
-2.319656,3000,72365.644423
0.264625,1784,72807.678542
0.4344,1368,73133.258281
-2.238358,3000,73997.935889
-2.218145,3000,74793.333751
-5.469583,908,75015.810871
-2.100083,3000,75737.430149
-2.586367,3000,76699.137017
-0.118082,2357,77181.336901
-0.189158,2563,77819.374131
0.029333,2450,78438.798984
-0.278182,2788,79312.256364
0.643775,919,79406.679244
-2.303443,3000,80232.023724
-0.005987,1995,80699.040777
-2.139433,3000,81469.004621
-0.091825,2737,82136.846103
-2.527491,3000,82765.138857
