TimestepsSoFar,loss_pol_surr,loss_pol_entpen,EpRewMean,ev_tdlam_before,loss_ent,EpLenMean,loss_kl,EpisodesSoFar,loss_vf_loss,TimeElapsed,EpThisIter
1468928,-0.004243955,0.0,-1.7374793605029617,0.3444969058036804,0.5008731,902.35,0.0042127357,1582,0.00023574287,4654.724647521973,1
1469440,-0.004168668,0.0,-1.7374793605029617,0.7705716341733932,0.3886761,902.35,0.0033535995,1582,1.1898838e-05,4655.183141231537,0
1469952,-0.007509549,0.0,-1.7363172555723432,-0.03385305404663086,0.54337645,902.35,0.0026932617,1583,0.00013449305,4655.645215034485,1
1470464,-0.002076447,0.0,-1.7363172555723432,-0.28490495681762695,0.2821497,902.35,0.0019467976,1583,2.842092e-05,4656.103005647659,0
1470976,-0.00028452836,0.0,-1.7346721328381787,-0.002869129180908203,0.44336522,902.35,0.004004929,1584,9.536452e-05,4656.559943199158,1
1471488,-0.003458473,0.0,-1.7346721328381787,-0.024076342582702637,0.45825884,902.35,0.003521855,1584,7.838967e-06,4657.013785600662,0
1472000,-0.0032969788,0.0,-1.7343359318732812,0.21917712688446045,0.51164675,902.35,0.004321882,1585,0.00012673452,4657.504468917847,1
1472512,-0.0052137533,0.0,-1.7343359318732812,0.3716142177581787,0.42067772,902.35,0.0036138333,1585,9.137738e-06,4657.968191385269,0
1473024,-0.0023971535,0.0,-1.7332572167777385,-0.0390704870223999,0.4920923,902.35,0.0072990544,1586,9.688567e-05,4658.415218114853,1
1473536,-0.0025420338,0.0,-1.7332572167777385,0.0321425199508667,0.2962578,902.35,0.0032004598,1586,2.9983607e-07,4658.882400751114,0
1474048,-0.0049294997,0.0,-1.7327545333271415,0.912708044052124,0.48689634,902.35,0.002510111,1588,0.0017247391,4659.332947015762,2
1474560,-0.0045808787,0.0,-1.7327545333271415,-0.0846414566040039,0.22908677,902.35,0.0023789569,1588,6.268906e-06,4659.820830106735,0
1475072,-0.0019210349,0.0,-1.7321018775557164,0.0035077929496765137,0.5312487,902.35,0.0022893297,1589,0.00010234518,4660.2705545425415,1
1475584,-0.0017536655,0.0,-1.7321018775557164,0.015535891056060791,0.38193578,902.35,0.0018329589,1589,2.4165666e-07,4660.726085186005,0
1476096,-0.00033032522,0.0,-1.7338134819740842,-0.0005495548248291016,0.52892935,902.35,0.0033435528,1590,9.470736e-05,4661.224536895752,1
1476608,-0.0030230507,0.0,-1.7338134819740842,-0.010012984275817871,0.53775644,902.35,0.0009948125,1590,3.2659989e-06,4661.740820407867,0
1477120,-0.0064094346,0.0,-1.733253090769075,0.002872765064239502,0.4029652,902.35,0.006048988,1591,0.00010519665,4662.218995094299,1
1477632,-0.0004420951,0.0,-1.733253090769075,0.01374673843383789,0.45351452,902.35,0.0002355206,1591,2.3888086e-07,4662.6772656440735,0
1478144,-0.004198203,0.0,-1.7342901613661146,0.0007069706916809082,0.45508486,902.35,0.0033945255,1592,9.983103e-05,4663.143885612488,1
1478656,-0.0009815432,0.0,-1.7342901613661146,0.00927722454071045,0.5349834,902.35,0.0021623324,1592,1.9074983e-07,4663.603959798813,0
1479168,-0.006316621,0.0,-1.8263808306094302,0.9150525406002998,0.5393601,893.09,0.0067569013,1594,0.018049754,4664.05845618248,2
1479680,-0.0011643721,0.0,-1.8263808306094302,0.009759306907653809,0.5529872,893.09,0.00046601702,1594,3.4320288e-07,4664.501914024353,0
1480192,-0.010185442,0.0,-1.8271080455862114,0.790729895234108,0.47342807,893.09,0.0052118707,1595,0.0020582383,4664.944003820419,1
1480704,-0.003841689,0.0,-1.8271080455862114,0.08766460418701172,0.25715962,893.09,0.002173604,1595,1.213977e-07,4665.412020683289,0
1481216,-0.0022792388,0.0,-1.8257870198472914,0.7978819459676743,0.46803,893.09,0.0030922443,1596,0.0051086578,4665.883680820465,1
1481728,-0.0023036343,0.0,-1.8257870198472914,-0.005518913269042969,0.14988485,893.09,0.0026081214,1596,1.2110385e-05,4666.343618392944,0
