#{"t_start": 1623224005.3458643, "env_id": "ShipNav-v1"}
r,l,t
-359.828396,204,6.109799
-37.229692,806,22.929389
-529.999714,5191,389.38896
-51.607561,1,389.417131
-460.088949,4011,676.573388
-414.390936,4190,1019.686987
-562.650244,5686,1529.226723
-302.911772,3030,1692.329029
-117.955068,1529,1783.429904
-3.560786,825,1810.357671
-1.26583,1181,1841.625735
93.058084,283,1847.72084
60.034298,1150,1875.911985
-76.221549,32,1876.6067
-71.623524,247,1881.981875
-10.858692,344,1889.118257
93.533402,329,1902.699239
92.650668,387,1911.079268
-6.600577,233,1916.066293
-49.228953,117,1918.601755
-59.461428,360,1946.59424
-30.188441,738,1962.53827
17.447397,522,1982.673792
-51.988511,398,1991.094209
-46.541667,186,1995.11635
-323.684994,4196,2213.253736
-28.662857,334,2245.147757
11.353808,650,2259.157423
-25.570125,361,2271.572335
89.744953,586,2284.080738
14.184453,294,2290.4544
-5.115239,538,2311.026597
86.455257,427,2320.227193
91.841423,450,2329.832819
94.393758,260,2340.361099
91.238179,478,2350.624177
89.758073,580,2363.018884
-44.602772,1,2363.045283
-41.769034,203,2375.094295
-57.392231,99,2377.257977
80.561419,1144,2407.096008
88.199676,677,2421.768142
-47.736622,1,2421.797119
93.023582,364,2429.753639
95.266619,140,2441.162434
-16.828385,448,2450.91846
-31.627319,356,2458.677991
92.980081,61,2460.038105
94.794133,238,2465.27954
95.035602,219,2479.489898
88.345415,655,2493.734034
16.003284,721,2516.728039
77.879612,15,2517.076612
92.06922,425,2526.275781
89.760137,563,2538.504153
32.059076,486,2557.370223
93.528372,304,2563.916591
85.514835,850,2587.732071
-22.377848,237,2592.671629
12.043488,494,2602.655844
-321.144075,2627,2677.053679
-19.941545,478,2716.616503
-4.245435,559,2728.548775
12.220007,294,2741.503825
90.564989,530,2752.90338
-42.140122,160,2756.370294
-47.697788,89,2758.311249
88.112892,681,2777.594368
22.985375,288,2783.776806
89.481566,587,2796.098186
-42.142226,170,2804.791214
3.537838,340,2812.076363
-44.352459,259,2817.717885
-21.690607,317,2824.464355
-26.826104,222,2829.281207
94.682144,245,2843.238334
89.276224,192,2847.430435
83.676529,956,2873.688631
91.297923,483,2884.046935
91.882179,264,2889.566219
87.281494,210,2894.063912
94.445714,263,2906.965187
94.385634,264,2912.618993
-54.491099,117,2915.153812
90.690583,519,2926.252899
88.198984,684,2948.517471
84.355651,911,2973.767351
-42.428976,146,2976.943542
87.54767,720,2992.126912
94.460356,126,2994.870027
90.006014,564,3011.764807
93.412989,270,3017.549748
92.363334,402,3026.232702
93.753125,240,3036.898949
90.355293,539,3048.478028
87.735068,707,3072.165619
94.666282,232,3077.058786
94.991227,154,3080.354296
88.631637,652,3093.733923
84.167182,930,3121.030833
93.424914,338,3128.259975
-12.706863,272,3138.074658
-40.934176,153,3141.349627
92.783297,382,3149.566361
4.187479,428,3158.817177
-23.045424,354,3173.18692
83.536254,971,3194.048283
87.843157,708,3216.023356
90.109619,557,3227.975259
-34.326109,215,3236.568753
95.620593,103,3238.83509
90.047617,562,3250.83378
88.598259,624,3273.935423
-127.969392,1682,3318.519151
89.537793,577,3330.820667
-3.875469,247,3342.458099
87.457836,726,3358.062103
90.696301,519,3374.581908
-24.845349,266,3379.962323
85.012416,168,3383.531419
94.046343,154,3386.814613
90.443508,529,3403.649512
92.699584,308,3410.280916
