#{"t_start": 1623224005.1969194, "env_id": "ShipNav-v1"}
r,l,t
-65.167972,1079,24.524295
-717.812931,6000,448.797872
-23.609247,26,449.388041
-203.630932,2619,570.577642
-62.365585,277,672.131526
-58.751725,331,679.217338
-93.286479,1678,792.589142
-82.527674,478,803.100305
-454.6357,3812,1235.038065
-636.274453,6000,1635.160923
-69.513317,164,1638.673695
93.395039,54,1679.741256
-163.420042,2111,1783.148129
-49.247295,18,1783.543099
94.401786,198,1787.57676
93.5529,97,1789.566573
-34.637003,1231,1825.399983
51.667146,932,1851.473126
94.06559,85,1853.249677
-51.863884,1,1853.276184
74.485145,346,1864.112129
-27.22561,426,1873.331301
73.931531,754,1889.404235
-39.442375,255,1901.352948
-24.462412,382,1909.681384
7.917396,433,1918.954256
-132.411433,1351,1968.390144
-480.572619,5173,2241.054853
6.478449,922,2260.864607
89.95281,555,2277.312286
93.655676,194,2281.520954
89.529213,582,2294.110075
91.166506,460,2312.996718
35.472465,614,2326.129665
78.12464,590,2343.762138
95.364104,124,2346.366499
-9.948559,293,2352.710849
95.475569,106,2354.975799
93.489647,331,2362.017717
93.786213,63,2363.378556
-6.048074,310,2377.853109
87.283487,732,2393.741148
94.817481,202,2398.170676
-49.190173,1,2398.197752
82.614361,601,2416.110218
92.759363,361,2423.986309
91.43683,477,2442.747466
94.911685,105,2445.00618
95.262069,157,2448.426122
20.887583,565,2460.788194
95.175109,98,2462.910985
-42.012805,213,2467.613343
95.565163,124,2479.795169
12.039839,1444,2518.530375
93.440323,344,2525.904959
94.792308,83,2527.752471
84.93882,873,2554.9883
91.520369,420,2564.078983
92.596824,130,2566.965422
94.479808,259,2572.371705
88.802921,641,2591.677874
-43.686775,373,2599.248436
-74.179667,130,2601.820954
-121.761661,2010,2662.952952
-27.956013,1212,2718.227719
91.809994,430,2727.391398
-38.236881,369,2741.954689
90.676731,504,2752.840278
15.342691,824,2775.276266
-34.563863,266,2780.953894
25.171502,727,2796.353787
91.772714,459,2811.181201
83.471608,971,2840.745166
95.378589,130,2843.556006
88.672516,652,2857.674165
86.189806,800,2880.549274
14.794164,829,2898.179426
94.313916,284,2911.499282
90.866524,507,2922.386263
87.560281,721,2945.43693
90.118902,563,2957.398524
15.502318,518,2974.374276
93.388576,305,2980.933073
76.479259,1396,3015.432438
93.171805,60,3016.722732
-29.454137,321,3023.644092
93.472459,330,3030.72402
90.207687,102,3038.459011
-20.580496,296,3044.791729
94.06151,291,3051.078558
17.819855,372,3058.894464
91.121618,503,3078.277894
95.326005,114,3080.691493
89.132388,624,3093.514143
95.574383,158,3096.858181
88.93269,634,3117.851974
87.432997,726,3137.302548
90.539723,532,3148.800565
92.449073,383,3157.050367
84.372345,917,3183.680938
88.735617,647,3204.191038
-32.392574,258,3209.742986
88.460666,663,3223.991647
-10.286684,513,3239.016309
90.275364,545,3250.67468
89.057597,604,3273.317937
95.474013,108,3275.645691
93.716914,283,3281.618528
-0.388421,575,3293.996205
-13.337643,235,3307.581527
-0.732017,380,3315.728673
74.902628,850,3340.306785
-35.012682,208,3344.678227
2.965372,327,3351.669781
-37.480046,163,3355.178895
17.055854,254,3360.677163
-22.779916,205,3365.07335
8.853442,470,3380.217458
90.800226,510,3391.078007
-3.959687,727,3412.254286
92.99111,366,3420.103757
87.199914,58,3421.365275
88.592812,650,3442.259831
92.589605,349,3449.716907
90.507618,517,3460.690842
92.375325,416,3478.822657
-117.084523,174,3482.549025
-70.925879,864,3508.931759
-564.475483,6000,3776.631424
36.283092,852,3801.478924
94.503409,217,3806.185618
88.347047,664,3830.514169
27.905163,534,3842.013383
80.070373,1176,3876.155678
94.01148,272,3882.050174
