#{"t_start": 1623224005.1855717, "env_id": "ShipNav-v1"}
r,l,t
-57.622231,633,15.153631
-606.046586,6000,439.256272
57.452723,96,441.312078
-822.641133,6000,906.456956
-302.281032,3037,1146.820881
-20.496985,236,1151.754671
-628.24623,3446,1421.335237
76.160372,60,1422.66892
-678.711829,2904,1637.594618
-84.782228,354,1685.063827
-175.584456,1249,1770.119364
90.071405,34,1770.843894
-70.602279,1692,1816.213993
-28.102156,225,1821.009148
-18.794206,171,1824.629385
-14.530002,378,1838.801208
-51.951985,186,1842.813937
6.092713,229,1847.726274
92.855808,56,1848.931414
-7.709984,240,1854.050265
95.13739,179,1857.917531
-39.527371,404,1870.032801
87.684759,57,1871.229518
-37.705994,868,1889.749168
-19.906859,149,1899.405673
93.728279,56,1900.656846
1.742203,209,1905.224357
56.984738,1689,1961.816612
-22.633655,387,1970.186447
-484.315275,5742,2255.14265
-6.322811,345,2262.527651
21.581567,904,2286.582651
82.868056,1010,2317.273102
87.649813,717,2332.701698
89.99535,549,2349.407532
12.098893,402,2357.988614
91.692606,448,2375.309151
90.540097,538,2387.027948
94.880933,146,2390.217342
-9.360915,243,2395.505508
87.826969,677,2415.139715
18.288833,696,2430.260797
86.553336,775,2455.498199
93.139922,360,2463.441796
8.68832,1144,2497.737242
-29.629124,179,2501.61568
88.942289,626,2522.613374
92.278222,383,2530.948431
12.006915,417,2548.335977
89.236239,551,2560.243823
10.588809,416,2569.181609
93.040778,365,2582.666271
-20.555315,243,2587.796776
93.167684,355,2595.179905
-33.156014,590,2617.387701
-235.815461,1079,2640.33757
-8.952583,374,2656.479563
93.595587,289,2662.737749
-317.12437,1469,2723.521536
-20.899196,396,2731.980363
-34.399624,275,2744.529298
94.607182,200,2748.835907
10.817701,329,2755.909499
11.864057,599,2773.482779
94.876285,174,2777.220523
-41.695879,257,2782.676455
93.176306,337,2789.957119
-38.14267,189,2793.833588
86.682985,774,2815.420094
91.399974,474,2825.632668
91.009373,41,2826.522014
-34.325305,216,2839.838138
92.715361,382,2848.157927
-6.257317,453,2857.886735
94.485473,203,2862.247067
-42.955028,130,2865.02665
93.349794,341,2878.041799
90.648385,64,2879.412941
-48.860843,182,2883.363116
94.607925,231,2888.21801
-11.893858,304,2894.622078
94.849113,174,2898.385042
90.530578,527,2916.956498
95.177502,141,2919.996654
94.13694,139,2922.978124
95.08644,97,2925.019022
95.347265,126,2927.726634
-20.473105,346,2942.766313
-8.326985,386,2950.981384
79.751018,18,2951.408797
-19.07632,215,2955.934348
94.095305,59,2957.192285
89.648076,577,2975.377284
95.361801,153,2978.703537
94.269602,274,2984.518694
90.766491,511,2995.295104
-26.375258,205,3004.450914
92.380777,412,3013.344313
0.447094,351,3020.877235
95.144924,95,3022.931868
17.461835,453,3038.228866
77.445489,1340,3075.436375
94.91683,205,3079.792496
91.824168,447,3088.937167
12.510244,326,3095.74795
-3.879428,598,3115.978091
81.520262,182,3119.86382
86.362173,792,3140.773315
95.302295,115,3143.281822
94.495329,209,3147.725842
94.806759,215,3152.399434
-25.786868,253,3157.838194
95.492536,130,3160.623086
89.014198,634,3181.255623
91.927203,441,3190.478839
92.300082,414,3206.180165
91.006178,491,3216.732269
93.459486,62,3218.076163
-3.755306,648,3235.942664
-31.509355,285,3242.072454
82.312688,1042,3274.126103
-11.931904,442,3283.504911
14.10353,445,3293.059945
9.016781,1401,3331.631722
33.480026,773,3354.509745
95.108013,187,3358.573869
-37.572204,184,3362.535706
-35.727639,374,3375.889155
91.853063,97,3377.861493
-18.030686,356,3385.338664
90.967318,491,3395.769176
91.66643,452,3411.027893
89.060827,626,3424.561249
95.1854,196,3428.870181
83.512824,965,3456.25106
-39.062779,193,3460.316158
-1.355821,326,3476.486215
9.779566,875,3495.300422
88.820256,641,3516.964772
28.133015,912,3564.277981
47.470329,1996,3639.812389
-44.586893,895,3706.20002
81.566042,472,3716.274338
0.112722,1231,3774.095071
89.694945,45,3775.015159
17.952233,541,3793.294872
93.741829,167,3796.756352
-28.485238,182,3800.616507
88.118108,683,3825.413611
93.595356,170,3829.105669
64.098829,2139,3883.948004
91.511749,54,3885.152964
89.23825,612,3907.243062
93.932848,297,3913.71116
90.841896,506,3932.96814
-620.63158,6000,4093.719579
89.73877,583,4112.625386
78.10324,1292,4145.805688
-34.324665,484,4156.295825
23.68415,626,4177.753395
-53.891614,135,4180.634164
-48.038873,142,4183.809536
93.938494,210,4188.286268
31.630821,674,4229.740119
92.345853,414,4238.632665
94.66228,165,4242.206047
80.966115,1124,4273.172188
86.275961,796,4295.069852
-5.265018,553,4306.957286
-47.042718,169,4310.592335
-57.493931,101,4312.840602
94.849292,204,4317.277862
80.473684,1154,4346.382279
-36.489512,247,4361.480313
95.314017,174,4365.160787
94.771252,229,4369.881789
92.204926,424,4378.6764
92.920953,294,4393.206399
94.708235,230,4398.219393
95.028786,221,4402.756128
94.175167,258,4408.052673
94.045797,293,4414.080945
91.499282,451,4429.26943
86.85944,763,4445.021077
-4.934752,276,4466.174124
-0.347854,487,4476.272563
89.995447,568,4488.113606
91.495292,435,4507.88511
93.422178,331,4514.719011
94.841246,88,4516.573206
89.570924,580,4528.601297
92.543878,409,4546.459846
-23.307278,297,4552.440944
93.477402,83,4554.147407
87.626566,711,4576.322358
93.420355,336,4583.15348
94.147075,249,4588.558141
94.432913,253,4593.694573
93.498287,51,4594.74711
77.401956,308,4608.361965
86.25467,25,4608.877014
90.985106,506,4619.1682
89.308232,610,4637.067084
14.083858,583,4648.916525
85.565388,842,4671.985007
93.617159,330,4678.648935
87.371209,727,4700.126598
91.647943,457,4709.370744
88.535826,653,4722.925186
10.683691,577,4743.714139
93.138429,278,4749.338269
90.333304,545,4767.812113
-11.056325,305,4774.044185
93.196926,314,4780.36293
-49.599685,139,4783.250708
91.321833,482,4800.65669
80.110426,1171,4824.481773
15.016394,812,4889.609644
4.316618,463,4925.509007
80.746004,1129,4948.88917
93.024894,336,4960.227609
73.888216,454,4969.550194
55.384057,13,4969.883298
13.77265,2525,5055.977738
-3.684918,433,5065.030147
92.092566,429,5080.856106
85.617012,838,5098.327078
81.569107,1075,5126.082713
61.697153,971,5157.298482
93.220249,341,5164.150713
90.337231,539,5182.333825
84.227523,917,5208.451246
93.661064,82,5210.129971
93.369281,311,5216.478152
89.946814,572,5228.262682
90.074844,555,5248.186831
95.465692,171,5251.756403
90.91199,499,5262.041377
-44.905571,441,5275.702272
86.913715,765,5291.511021
92.142183,410,5309.600684
85.57664,840,5327.102121
-0.053704,304,5333.375578
92.207666,424,5348.201426
94.041339,291,5354.428465
87.578563,717,5377.196766
81.385948,1100,5400.106571
91.930443,59,5407.812693
93.384393,338,5414.936184
91.332875,482,5424.7943
81.368766,1097,5454.485976
-32.959001,212,5458.825657
8.093041,1082,5492.323872
80.038975,1180,5526.400286
95.023193,211,5530.670535
88.322368,671,5552.254363
11.799313,827,5569.469765
