#{"t_start": 1623224005.3319871, "env_id": "ShipNav-v1"}
r,l,t
-785.327457,6000,385.321214
-818.573578,6000,792.18401
-142.198751,644,904.512734
-335.470716,2901,1142.114544
-101.811184,366,1149.721175
-187.188937,571,1238.820534
-353.229489,2774,1416.937288
-107.526871,598,1430.073764
-434.224113,3255,1692.135706
-239.933174,984,1771.620891
-47.318421,959,1801.312875
-18.630246,369,1809.227773
-41.618092,530,1820.509942
-19.32546,460,1836.43891
-30.979715,217,1841.133234
-43.969701,165,1844.650436
-10.116016,428,1853.809947
-11.912365,257,1859.32839
-21.268587,377,1870.874787
-35.099694,201,1875.234252
-30.646203,526,1886.472657
84.34504,226,1897.672749
86.725057,769,1914.354596
-36.768335,250,1919.736933
-18.541865,934,1960.069175
3.342696,345,1967.546925
25.480525,279,1982.414254
-48.460016,270,1988.087589
-71.038261,596,2000.921756
-75.536497,179,2004.800067
-73.007,188,2036.35304
88.733295,35,2037.11007
-281.111099,2998,2201.75377
-30.780584,228,2206.75022
8.506591,842,2249.739311
-56.4126,310,2256.415579
15.391337,781,2277.69957
-4.571686,225,2282.587416
4.119845,476,2292.84215
86.921183,755,2318.142466
94.36308,132,2320.943691
4.223829,348,2328.401772
93.010785,324,2340.288206
-18.496462,218,2344.983182
95.243501,103,2347.178118
87.823865,254,2352.629477
-52.140047,40,2353.488256
93.771394,292,2359.716277
91.891178,443,2376.963878
87.899928,699,2392.171566
-30.328828,451,2406.926215
93.531681,265,2412.63193
87.556572,702,2427.94043
-15.188008,751,2452.680118
95.213424,190,2456.779204
90.635802,531,2477.890074
89.942081,570,2490.289299
-45.542176,206,2494.717169
-308.841797,403,2503.450613
82.434256,1034,2533.275295
80.074433,1180,2567.208348
90.675236,514,2583.84248
94.296309,164,2587.262179
92.379066,257,2592.639308
-16.142412,766,2618.516187
-85.848322,192,2622.568418
-372.245481,3063,2725.59697
-19.04738,366,2733.410002
94.245035,118,2742.567706
90.210058,545,2754.33918
92.940191,314,2761.142381
-9.789113,600,2778.713743
-34.623647,187,2782.718671
-26.955209,498,2793.187994
-38.391858,299,2804.508425
8.310296,574,2816.873743
81.694635,1076,2848.833496
87.244257,726,2864.4575
91.051126,491,2880.664573
8.421285,545,2892.169697
92.900398,350,2906.971456
87.747973,702,2922.045148
93.32245,318,2928.832781
-8.002904,691,2951.181962
80.141942,1175,2982.220412
89.90731,570,2994.208046
64.232497,10,2994.412136
94.269245,176,2998.247193
94.623504,225,3007.789716
92.139691,430,3017.013217
82.627273,1021,3044.527642
-5.066226,282,3050.595793
17.272779,794,3076.089168
90.11141,560,3087.666469
88.610648,652,3108.967373
13.212027,414,3117.700269
94.342286,270,3123.437746
94.722823,238,3128.582967
-0.141874,390,3140.931239
-11.770774,175,3144.671283
91.02553,497,3155.372896
-49.950797,1,3155.401094
90.895422,504,3172.930454
81.188962,1113,3203.633722
91.281486,478,3213.959934
-6.839362,346,3221.398018
-45.807263,133,3224.222576
92.564776,397,3236.791939
77.62124,1324,3274.83617
1.174363,368,3282.58938
1.601799,535,3294.151626
80.406369,1149,3327.337599
90.455798,542,3345.22808
-13.768886,305,3351.784621
82.755968,1014,3378.71909
82.657809,1019,3405.942762
91.915783,441,3415.482974
90.235233,543,3427.265554
92.207062,403,3442.662465
94.66226,80,3444.432612
95.217822,103,3446.633147
93.858262,299,3452.978395
94.846835,196,3457.16004
-27.599303,1643,3509.413542
-49.411267,1,3509.440688
87.695573,224,3514.261902
-59.385117,151,3517.539901
-47.179413,1738,3582.275145
83.242027,982,3636.29525
8.834489,1928,3756.792952
-28.131992,135,3759.692869
92.713811,218,3764.244145
-20.34765,307,3770.578933
-8.028527,597,3789.896457
93.455848,350,3797.249747
91.959917,437,3806.658278
-61.101461,42,3807.550733
-46.684126,153,3810.873818
-31.478565,129,3813.756667
-8.393101,416,3832.587166
90.977431,469,3842.754445
85.452828,39,3843.600488
87.366972,671,3866.936973
91.287507,200,3871.123308
89.000458,624,3884.623072
82.751792,1014,3915.378322
92.191712,68,3916.823441
82.518085,1028,3947.282212
88.011408,680,3969.605874
6.548211,476,3979.751234
19.816066,551,3991.590537
83.383278,454,4014.767879
-11.51489,637,4028.488944
14.325723,329,4042.01004
93.708185,331,4049.16951
87.471258,717,4064.508383
95.544421,131,4071.575318
89.561872,234,4076.572123
83.958633,20,4077.03176
-0.832588,422,4086.170817
94.367087,176,4089.981437
94.847914,164,4093.518883
91.003742,490,4110.404281
83.724066,133,4113.302351
90.375754,540,4125.075941
-14.784963,668,4144.677674
86.442792,782,4161.558921
91.18734,488,4180.071859
10.886559,460,4190.061572
90.581449,43,4190.976758
-22.298751,216,4195.624125
84.120367,929,4242.474345
87.173684,739,4265.465062
93.017709,344,4272.57568
88.655798,644,4291.214512
94.277167,262,4296.845504
93.45656,310,4303.521884
5.569177,825,4325.610072
79.970967,1188,4361.050578
-48.151936,115,4363.514358
92.300156,399,4371.786924
79.1572,1232,4405.874686
88.665789,190,4409.760003
-6.917286,438,4424.676788
86.233297,800,4441.181667
90.536146,517,4467.458691
91.989874,429,4476.237299
93.874718,301,4482.64155
94.934176,216,4487.06331
82.689686,1019,4518.918616
91.098079,502,4538.53607
79.768212,1195,4563.344344
89.095202,626,4583.553978
86.393702,177,4587.41613
86.976177,754,4610.145192
83.074108,992,4635.688628
-23.530618,285,4641.603805
78.255162,1285,4673.638688
93.571644,277,4679.37139
91.363341,485,4689.253944
-43.332205,127,4691.91437
83.096805,996,4718.864899
-34.443459,187,4722.722822
91.449987,471,4741.378495
86.025717,308,4747.63594
-4.562576,543,4758.840181
90.738472,523,4776.676503
78.497285,329,4783.367885
24.572056,378,4791.285099
-43.030898,923,4817.483905
-74.451619,2480,4943.305507
95.359665,151,4946.395369
87.850473,702,4965.211846
44.043216,1284,5000.382929
63.490506,1915,5065.481475
94.892878,219,5077.027568
-42.760955,181,5080.696699
84.966112,880,5099.100819
92.149967,434,5113.755662
-10.521463,533,5124.575815
88.92683,631,5148.643219
90.589315,528,5159.561268
91.746703,450,5175.93388
90.70437,520,5186.712467
93.884894,257,5191.930554
94.95997,194,5195.930038
93.702912,319,5209.648864
87.371023,727,5224.565206
-4.535241,473,5242.666596
-17.58431,200,5246.882324
94.289877,65,5248.280235
89.482006,591,5260.406185
87.71328,709,5279.654767
92.437275,382,5287.452888
85.841916,820,5314.080703
93.145297,296,5320.368274
94.812019,188,5324.272707
82.958998,1003,5351.019472
20.089873,686,5365.439815
93.739518,115,5375.740319
-51.048339,1,5375.767293
-50.651364,1,5375.794307
89.202805,619,5388.724949
-10.388648,305,5394.890033
77.834703,232,5399.804292
22.12908,533,5417.48602
77.710895,1321,5451.770882
22.010598,443,5460.820899
82.908974,999,5492.610919
88.93024,627,5515.211741
90.688946,527,5526.117731
94.332927,82,5527.810332
91.149885,209,5532.09536
93.510209,311,5546.254555
83.019239,997,5566.906294
91.149652,491,5582.377842
95.293933,125,5585.087063
91.483578,457,5594.468058
94.733831,238,5599.277009
-30.196494,170,5608.547176
76.722911,1383,5642.914899
91.35541,476,5652.848882
94.17931,254,5658.077857
74.444054,531,5678.911944
83.772845,78,5680.571347
93.87446,79,5682.302212
90.043247,561,5693.901088
-9.540589,186,5697.868957
94.032636,199,5709.300103
81.481535,1091,5731.910527
94.698177,245,5745.028333
30.78305,956,5764.72585
94.380022,249,5773.971897
88.05064,681,5788.099386
86.815645,764,5807.778517
5.01524,510,5818.714846
-5.373218,319,5825.167006
91.560139,463,5841.886796
94.25608,277,5847.671201
87.914774,701,5869.033128
87.878862,700,5883.470594
90.527936,532,5900.449796
-38.262145,195,5904.569257
80.304502,1161,5934.252951
81.208263,1102,5957.423146
17.449918,919,5981.574653
94.952441,118,5984.176956
79.23149,18,5984.571132
83.639442,23,5985.008917
-44.650522,122,5987.497736
95.253741,109,5996.373488
6.706003,360,6003.695669
-8.05004,238,6008.565431
82.855314,1008,6037.899625
85.80877,826,6055.572788
95.06742,101,6064.960421
1.497744,251,6070.418642
88.733165,640,6084.099932
93.450434,304,6090.419398
83.801652,949,6124.074468
89.544028,591,6145.428798
82.222401,1041,6173.157833
93.663755,257,6178.639091
86.406644,793,6195.082006
75.235298,1470,6242.666312
85.742894,834,6259.991474
85.149992,865,6286.889812
-53.844701,299,6293.031187
91.830276,444,6311.21042
82.627759,1026,6332.578326
95.014782,91,6334.459901
90.633986,509,6357.477662
93.268106,361,6364.8675
-16.626889,562,6385.88414
92.23352,424,6394.808762
91.799595,424,6403.714168
91.614313,55,6404.869867
93.067763,316,6419.865729
82.214889,1048,6441.564069
-41.554534,198,6457.551798
94.120988,212,6462.167327
89.857669,465,6471.921422
77.794321,1316,6507.814765
83.201581,988,6536.819332
86.748019,766,6557.430735
15.49324,267,6562.804371
84.829131,871,6580.84288
93.299251,343,6592.771805
89.721092,582,6605.193486
92.735478,104,6607.327194
83.584992,965,6636.583295
89.817683,139,6639.478879
3.375448,353,6646.947029
86.871933,92,6658.017986
92.283997,416,6666.737232
16.645213,634,6679.882757
93.70055,62,6681.137215
94.528551,223,6691.548126
10.486736,614,6704.069715
88.942102,630,6724.477564
32.278084,675,6738.227918
-35.695167,484,6802.088187
-35.959411,139,6804.977379
92.685174,353,6812.266788
87.28924,732,6827.37441
89.221536,606,6847.799998
91.068821,496,6858.023609
94.989738,231,6870.919048
92.456472,405,6879.227787
89.624375,585,6891.415997
90.667725,523,6906.050773
15.379617,302,6912.146385
95.425848,150,6915.242069
91.465257,456,6924.793654
82.826581,134,6937.6463
92.50066,397,6945.877344
87.02545,747,6968.51822
94.639843,235,6973.465103
91.85235,443,6982.421268
91.390821,474,6992.077889
93.814307,318,7009.585075
89.618334,593,7021.753207
92.488651,60,7023.065937
78.083972,1301,7057.01004
9.33477,1050,7088.536889
87.081311,750,7113.239404
47.442833,1972,7224.800425
93.549021,272,7230.264128
85.218744,848,7253.548397
82.246344,1035,7280.803712
85.851644,821,7309.303421
95.210458,109,7311.540754
82.513208,1021,7339.628047
-28.091701,328,7346.196099
93.653221,321,7352.960719
93.099616,87,7354.790915
89.507071,602,7376.041303
91.207057,493,7386.248192
94.894703,87,7388.09252
81.543211,1089,7423.25678
94.77629,109,7425.485815
90.881738,503,7435.733636
-23.684339,475,7453.73346
89.558595,582,7465.714583
84.952974,876,7488.680705
81.145684,1112,7517.959262
-14.9403,387,7526.084956
8.917877,288,7532.065536
79.329798,1214,7564.356958
89.150588,620,7587.794343
-38.20612,114,7590.111339
86.677448,775,7613.479187
-50.644919,1,7613.506016
87.319748,725,7628.576037
95.298404,119,7631.032767
86.909794,64,7632.344619
-50.079369,1,7632.3715
89.189408,614,7650.540606
91.773937,440,7659.669242
92.971665,380,7667.477143
78.611359,1266,7696.979776
86.66829,777,7722.325134
77.342335,1335,7763.051314
69.914362,1783,7820.25951
76.954545,1368,7854.772653
80.942681,1129,7884.773572
92.735486,390,7893.000541
94.419638,244,7898.012135
81.98843,1058,7930.224384
93.358298,276,7936.108476
87.183357,742,7958.26202
90.434101,532,7969.362714
93.169639,54,7970.493347
90.64177,526,7988.999084
94.477256,73,7990.455425
86.491767,785,8006.685709
91.065992,217,8016.548483
87.246846,151,8019.661595
90.076202,564,8031.344588
85.347591,857,8058.38499
