#{"t_start": 1623224005.211994, "env_id": "ShipNav-v1"}
r,l,t
-47.045887,222,6.593544
-36.160744,122,9.15724
93.01733,355,16.525905
-627.580544,6000,440.654589
-313.812667,2685,563.279536
-366.303054,3965,919.851672
-88.165681,2270,1143.793905
-28.894859,201,1147.929192
-47.110717,1,1147.956273
-588.854154,124,1150.539982
62.723551,427,1236.547105
-268.790341,2980,1419.219604
-70.959638,562,1431.470568
-299.896785,3268,1693.831574
-48.400066,213,1698.376801
-77.883879,1472,1788.035341
-64.205556,375,1805.511581
7.540813,1053,1834.061563
-7.279944,378,1842.192968
-43.056178,165,1845.720119
-14.514714,574,1858.032994
-34.68148,486,1871.922246
-46.349047,225,1876.812847
84.194007,916,1902.817906
88.287512,432,1912.144255
13.519023,1147,1957.062963
-62.834726,194,1961.233992
-26.593797,196,1965.518925
-19.651607,322,1981.416846
93.509313,60,1982.628455
-116.050894,527,1993.875864
-330.853401,4032,2208.375254
-37.294052,1,2208.403378
92.440108,379,2241.469598
-3.804777,601,2254.367258
-4.266569,412,2263.18373
95.28439,194,2271.997736
-26.976557,374,2279.950888
28.396506,725,2295.584288
5.698908,580,2317.050629
95.17791,199,2321.33792
-10.232815,478,2331.583343
91.686951,424,2345.605266
93.464942,236,2350.702374
1.034272,377,2358.788387
95.051578,202,2363.079987
93.347595,353,2378.476681
92.297112,388,2386.866202
93.744558,298,2393.30619
84.218259,22,2393.832883
83.6538,956,2419.531099
93.707965,313,2426.416306
92.83428,370,2442.779676
87.856814,694,2457.911049
88.438393,661,2481.83569
86.984778,730,2497.62987
-36.93454,297,2504.071112
75.742798,239,2516.668764
89.913728,577,2529.186779
-5.011778,448,2538.894076
-29.383713,202,2551.597447
10.216759,646,2565.697345
89.358086,30,2566.32941
92.962025,340,2573.39409
23.66238,3,2573.457926
91.931431,446,2588.692416
-55.725657,122,2591.246331
-11.977405,263,2596.664448
-34.556656,337,2603.400019
-378.604295,2053,2665.575171
92.315612,73,2667.11576
89.121665,87,2668.999994
-16.022291,869,2716.899779
-31.688644,212,2721.44086
86.808557,745,2744.004728
-4.441406,442,2753.557094
94.364736,263,2759.24741
-2.40372,459,2773.736264
-44.38824,152,2777.036242
85.071262,860,2795.253807
95.494489,183,2804.085086
82.298138,1044,2826.643845
93.021796,369,2843.279215
94.605999,255,2848.836337
