#{"t_start": 1623224005.1737154, "env_id": "ShipNav-v1"}
r,l,t
-71.552924,940,21.553302
-716.256834,6000,445.788706
-172.038692,2670,568.178584
-207.040228,1665,776.470939
-313.759281,2425,927.463461
-5.702943,176,1008.359796
-84.99821,833,1026.426201
-451.830341,4631,1418.99948
-99.010821,279,1425.131093
-203.761436,570,1531.548109
-338.044657,2895,1691.703251
-47.994777,1533,1782.93703
10.913235,897,1811.392799
-28.033438,262,1816.960968
-33.56698,372,1824.931117
-43.272892,229,1835.871084
-52.884924,160,1839.323385
-19.388513,312,1846.046954
92.240302,416,1854.948724
90.252979,516,1869.441838
82.513172,732,1885.208056
-17.647557,271,1897.266055
-20.102051,214,1901.956878
-56.787917,366,1909.901587
-40.970825,166,1913.457066
6.036619,1465,1965.292648
-144.594549,621,1987.3404
-742.752342,4480,2211.626289
23.612631,542,2248.066558
93.3497,320,2254.946109
2.234637,476,2265.209419
10.42049,511,2280.733929
73.646778,17,2281.149095
92.743601,386,2289.458756
27.582212,968,2319.270209
-33.344039,380,2327.420421
-11.774882,444,2341.882308
90.469548,529,2353.209117
92.754677,246,2358.476781
89.564887,596,2379.111945
89.933978,561,2391.201868
-20.938392,238,2396.503917
-41.569311,115,2398.989145
-16.936597,643,2417.767073
-48.165432,1,2417.793875
84.364433,917,2446.173707
94.637748,77,2447.819932
90.177178,540,2459.620995
91.952953,416,2478.192112
91.365901,457,2488.167919
-78.046048,796,2512.795696
18.467908,661,2527.122775
84.948046,878,2554.531432
88.028938,679,2569.147431
92.28763,414,2583.715445
90.471085,534,2594.810116
-46.242429,205,2598.979611
-51.364413,1,2599.005867
-71.522094,1035,2630.795882
-50.977777,1,2630.822994
-28.514717,980,2659.982394
-22.717998,265,2665.729646
94.684561,96,2667.786901
93.992943,89,2669.706094
-38.578771,401,2707.531534
24.006877,835,2725.465241
87.434251,723,2747.569685
82.575167,1026,2774.360364
-6.16431,560,2786.398895
-37.838406,342,2793.506981
95.485186,125,2796.134443
93.210251,361,2808.940619
86.411612,790,2825.900061
93.453766,339,2841.911521
-11.830193,323,2848.933029
94.925386,120,2851.536887
87.345597,719,2872.639226
95.252562,129,2875.398029
91.738444,463,2885.393967
85.527667,844,2910.572543
94.631753,250,2915.958709
93.810351,273,2921.758252
88.240939,674,2943.792605
88.351456,667,2958.028936
95.063283,113,2960.454557
89.405698,595,2979.061937
95.021741,201,2983.413042
87.404364,721,2998.6503
15.883883,309,3010.03694
92.078423,433,3019.300316
93.154466,120,3021.894068
92.287672,393,3030.334429
87.36356,734,3051.646998
94.680146,245,3056.838002
93.563463,328,3072.48428
93.667011,319,3079.248901
92.632685,385,3087.137164
-25.717437,62,3088.408245
95.59483,101,3090.451995
93.815753,254,3095.821757
91.067587,487,3113.724434
93.298274,336,3120.804118
92.440525,216,3125.472709
82.422222,1038,3151.735285
94.863495,99,3153.85214
-4.888167,389,3162.209666
93.609911,194,3173.198471
94.265438,76,3174.835322
82.79815,1013,3196.633998
93.33135,351,3210.932032
91.471148,462,3220.828477
