#{"t_start": 1623224005.2234619, "env_id": "ShipNav-v1"}
r,l,t
-113.409671,974,22.207973
-717.660796,6000,446.487775
-672.013434,6000,911.755447
-93.223282,1309,1017.188787
-115.561238,1757,1152.501278
88.364304,27,1153.072684
-577.162452,6000,1630.196945
-84.617202,879,1688.754846
-69.635921,666,1702.930377
-13.270562,1240,1787.693217
12.216881,315,1803.920081
-47.485849,320,1810.748975
2.239078,183,1814.676566
91.463007,459,1824.440728
93.160616,346,1837.935511
13.657294,441,1847.421505
91.15759,329,1854.463118
-36.984238,224,1859.249616
-18.309923,414,1871.609581
-70.401799,486,1882.162068
89.843268,573,1900.689149
94.629146,131,1903.543021
84.445799,170,1907.236161
-22.626987,412,1916.100289
-53.509441,120,1918.692444
-39.90395,545,1950.684219
-16.635539,528,1962.091463
93.243005,284,1968.162114
14.394169,278,1983.061612
-54.635423,241,1988.105543
-123.207024,628,2001.644406
-288.143289,3695,2208.950399
6.852147,646,2247.672066
88.166328,673,2262.139723
-11.865785,328,2273.825701
22.224698,512,2284.757632
91.87615,424,2293.87598
-41.520162,183,2297.793778
90.844302,500,2317.6147
93.031442,373,2325.560251
22.988449,454,2340.288984
88.190251,680,2354.872416
91.485438,468,2364.908154
95.155199,206,2377.035756
-54.74773,1,2377.062316
95.425818,187,2381.17829
89.300833,604,2394.32732
85.393309,25,2394.82443
5.138096,508,2410.761731
9.940089,780,2427.783387
94.184161,226,2441.051585
-50.898591,21,2441.477601
91.064085,109,2443.89247
84.744028,891,2463.343155
-43.590469,68,2464.82286
90.668434,509,2485.397243
-6.747036,507,2496.391567
88.008221,665,2518.175348
85.057408,879,2537.249875
-51.370635,1,2537.278275
10.584007,335,2552.844907
-29.959833,263,2558.530359
7.354197,353,2566.275398
86.516162,784,2588.541099
4.451594,677,2602.334759
-226.027219,1334,2640.845967
-38.39979,329,2655.951011
-38.332788,283,2662.103004
88.949545,30,2662.773834
-7.827004,781,2708.781584
-13.859449,974,2729.683681
80.683245,21,2730.095023
91.991202,440,2746.178222
92.988635,335,2753.422544
81.972343,620,2766.805906
-17.717559,292,2777.704402
14.398386,878,2796.357097
90.710427,47,2797.349731
91.800165,452,2812.029282
-22.253061,190,2816.12728
91.740444,457,2825.943227
-31.855767,1469,2866.324498
-21.043352,337,2879.245371
91.881009,435,2888.477415
88.698483,631,2909.209116
82.804335,1011,2930.902376
91.966071,435,2947.763063
80.203332,1170,2978.677998
-40.010055,1,2978.705478
91.918516,439,2987.947474
94.878829,205,2992.233416
83.785623,954,3017.549118
86.682306,772,3039.710133
91.028195,500,3050.441054
94.035064,295,3056.660319
93.642599,215,3061.190524
86.303804,800,3086.643656
88.342038,218,3091.050017
10.401038,510,3109.441776
94.031786,305,3115.881899
88.294858,669,3130.224023
87.468639,727,3149.766251
94.025487,289,3155.977077
88.579845,654,3177.000093
95.272901,175,3180.803622
86.67725,772,3203.971547
91.442394,88,3205.802732
-1.840268,201,3210.188786
95.125988,177,3213.979423
18.481304,698,3228.929273
93.450059,314,3239.709289
92.310763,422,3248.753293
-367.196318,4870,3382.74124
83.436297,967,3408.937797
95.202951,159,3412.393953
91.919338,400,3421.025044
-50.946952,196,3425.331284
95.137806,185,3429.342804
92.885341,357,3443.781016
-5.149419,265,3449.459371
94.458126,245,3454.648139
8.511805,265,3460.221195
-97.259105,909,3488.894788
-16.803035,413,3497.755729
90.531217,530,3517.079075
-4.332437,675,3531.56488
-206.94912,2606,3647.890856
-45.906039,423,3704.206269
-51.212519,456,3713.943201
22.375918,1367,3774.66378
95.632385,95,3776.633616
6.174054,377,3791.433934
93.769548,325,3798.29836
26.190228,689,3813.243902
4.289491,370,3831.133218
94.948818,173,3834.810946
75.060233,676,3849.421389
95.100391,189,3862.509649
-9.278629,292,3868.594831
76.828816,1371,3907.050836
90.972766,502,3917.915154
95.450017,152,3921.166501
84.887574,879,3948.450858
93.374788,340,3955.787292
-13.533186,271,3969.241987
-8.46226,1250,4009.400127
91.724959,43,4010.317021
83.764464,949,4030.773995
93.43248,121,4039.827686
94.972001,97,4041.931051
-37.432838,216,4046.583994
85.764998,831,4064.414024
7.425563,303,4075.103287
95.417921,123,4077.819232
92.706882,395,4086.356733
94.508461,74,4087.985217
82.756029,1019,4116.340408
5.08235,530,4127.887127
0.570893,144,4131.021869
79.763499,1196,4161.986625
27.767716,751,4186.180865
8.55484,983,4234.268651
94.195505,73,4235.817416
-45.86585,181,4239.732516
-16.545529,379,4247.88817
83.782909,953,4275.18722
95.049419,169,4278.769192
94.782315,240,4283.866388
-52.047938,1,4283.892959
93.253115,71,4285.476133
88.422017,666,4304.578267
92.216153,405,4313.422406
84.880518,885,4336.677349
94.544687,122,4339.365705
95.306548,181,4343.230467
87.770501,703,4367.985629
95.279402,152,4371.213585
4.817309,691,4393.963708
93.683218,320,4400.772158
4.741612,680,4414.755274
94.006948,191,4418.718876
94.343397,77,4426.143843
92.733223,369,4433.774149
93.143439,343,4440.801257
-22.574411,329,4447.665669
89.162725,617,4475.858413
-50.789687,1,4475.88493
22.932767,1113,4509.804517
91.521369,237,4514.693373
91.251032,40,4515.51329
85.406958,849,4542.340868
93.389463,349,4549.673902
11.999719,537,4560.846946
90.358965,543,4579.357249
-20.756047,342,4586.421361
82.918542,1004,4614.392396
11.205812,794,4635.989298
-40.0958,185,4639.803351
93.516048,327,4646.390577
89.737732,56,4647.479141
92.745848,374,4655.317685
84.942537,878,4678.96311
94.745976,195,4683.156709
89.589704,586,4701.532535
92.800599,386,4709.345268
93.918392,133,4712.304824
32.783539,681,4735.004507
90.568547,468,4744.787078
92.886575,367,4752.098117
14.262996,822,4776.283223
3.076795,397,4784.507788
-294.407232,4120,4955.642288
94.500537,127,4958.40193
91.787605,388,4966.211827
-104.942225,1522,5006.454616
82.111144,1049,5053.475424
92.703681,339,5060.49203
84.156917,926,5086.61538
28.030362,477,5096.456793
13.073767,505,5112.887676
80.344629,1145,5147.349817
86.007965,814,5164.057293
94.216329,124,5166.627153
94.759708,141,5176.68867
-55.460115,238,5181.516013
94.880706,219,5186.18138
89.318892,592,5198.452555
91.819372,448,5214.560435
84.967738,881,5232.917259
92.661205,390,5249.294622
77.338352,1339,5281.477241
-24.228792,288,5287.354507
85.779602,827,5314.122368
94.221321,248,5319.309994
19.199171,540,5330.585209
91.596222,454,5346.029591
93.540032,200,5350.139843
79.696061,1204,5383.137163
93.243328,350,5390.508162
90.646881,525,5407.981949
92.699357,381,5415.975138
89.366896,597,5428.088706
89.548725,595,5447.673382
93.151887,185,5451.419208
91.004831,506,5461.716605
81.344592,606,5485.414503
75.474408,1448,5525.044804
13.796759,568,5536.811154
10.934404,863,5562.333878
93.494444,328,5569.133573
87.75997,704,5589.056918
86.792229,258,5594.354063
85.370174,856,5617.726609
94.033626,235,5622.561938
12.952502,484,5632.474764
83.541675,965,5658.340522
24.597545,719,5683.257191
86.605094,251,5688.400211
93.877674,290,5694.392184
90.161534,534,5712.91186
94.41405,246,5718.088179
91.204092,472,5727.885335
17.569594,919,5754.817993
14.166893,725,5773.855682
89.551903,591,5786.011604
93.624915,315,5792.637422
94.316701,78,5794.255654
95.395866,169,5797.710997
35.851307,332,5808.502134
93.194874,354,5816.045897
82.155684,1049,5844.816259
-46.910831,1,5844.845042
93.017959,372,5852.502212
88.225478,679,5873.707666
94.775229,144,5876.593736
93.620679,119,5879.040213
81.129989,1113,5908.003479
70.402521,1440,5943.759619
95.054161,149,5946.824225
-50.312912,1,5946.850909
91.282722,454,5956.365543
85.965194,803,5978.126559
93.946854,304,5984.548367
90.885535,505,6001.459895
91.883857,437,6010.436655
87.162609,745,6034.281371
-39.510592,70,6035.756188
2.01199,992,6064.165756
94.011198,282,6070.227582
83.501038,972,6104.578771
89.216305,609,6117.510083
84.495944,909,6145.431417
95.367796,134,6148.238583
78.819719,1257,6180.591665
-47.500508,1,6180.618516
91.035551,474,6190.426954
86.704992,775,6215.834794
88.268117,30,6216.439497
89.341971,600,6229.17198
92.442248,411,6245.198548
68.715261,117,6247.646537
86.285811,779,6263.815625
90.600155,528,6283.575468
92.635982,400,6291.929168
-36.879392,657,6314.581739
92.517675,399,6322.759066
90.395835,544,6334.142183
-50.34458,1,6334.17049
92.867285,342,6353.642292
94.044313,289,6359.693689
92.473427,406,6368.01364
82.797835,1012,6398.464854
94.113614,273,6404.333708
81.428154,1092,6435.425409
91.22279,196,6439.446368
-56.438499,25,6439.987865
87.52938,715,6466.970153
92.342411,412,6475.689012
