#{"t_start": 1623224005.2343886, "env_id": "ShipNav-v1"}
r,l,t
-658.808333,6000,385.410467
-22.081226,327,432.630528
-112.304684,1085,455.964936
-583.287091,4753,795.976211
-163.886534,2230,1019.580298
-65.809007,1461,1148.664639
-166.516115,387,1156.658588
-666.239475,359,1241.415761
-43.279846,196,1245.588927
-172.983029,2532,1418.738925
-308.435205,426,1428.031225
-1.093984,367,1530.076916
-89.360733,815,1547.663704
-150.553003,2244,1693.820088
-74.047548,1154,1776.928615
94.669778,76,1778.53567
-145.814727,360,1786.070121
11.604958,1401,1825.374822
-37.172244,250,1836.773309
93.867689,94,1838.804315
-52.027347,29,1839.448781
-39.981034,270,1845.197767
-3.088865,356,1852.861086
78.641302,22,1853.307323
95.037213,208,1857.811805
-5.138997,278,1867.148736
-32.284955,325,1874.245772
-46.125325,477,1884.518859
19.633579,641,1904.673178
-48.05894,228,1909.579823
-50.447152,1,1909.6062
93.529397,225,1914.444028
-22.751593,252,1919.877093
-17.630032,284,1946.244061
-883.93633,6000,2211.99231
-72.735732,146,2239.960621
86.236626,800,2257.105226
-29.71206,304,2263.631045
-5.700437,525,2279.427026
93.662187,322,2286.438911
-23.778274,327,2293.477828
87.835935,697,2317.483219
83.470485,968,2343.17772
-11.1904,317,2349.965386
-4.940503,604,2362.899891
21.103725,324,2377.662553
92.279461,400,2386.27946
91.858064,445,2396.018808
88.869921,631,2414.610296
91.801811,437,2424.117646
90.378763,519,2443.81856
87.88644,698,2459.057711
87.309412,728,2484.36034
32.310722,1174,2517.249376
83.317553,985,2538.604391
88.896849,636,2560.748494
-34.896175,316,2567.538579
82.327397,65,2568.920485
89.830949,575,2586.777203
-8.628801,200,2591.029424
87.918273,35,2591.768583
89.900737,521,2602.283602
-45.267151,307,2618.956729
-205.275716,2612,2712.202803
93.060073,124,2714.882742
53.441774,554,2726.755958
90.839984,498,2744.032414
88.803744,638,2757.811298
-31.88731,186,2761.835766
93.370419,342,2773.877479
81.807401,1071,2796.606958
91.740822,50,2797.704323
94.471445,113,2805.075464
-9.554076,592,2817.870398
89.618958,591,2830.561243
28.366863,569,2851.568264
-28.76397,157,2854.947566
84.438706,911,2880.171702
-35.140291,189,2884.236933
87.530173,718,2906.769461
94.741797,242,2911.94329
25.069062,703,2926.999022
93.416956,204,2931.347692
94.23063,278,2944.931511
90.841051,514,2955.868645
-0.839205,295,2962.144041
79.975438,1182,2993.138606
93.247818,327,3004.956841
82.193226,1049,3027.482545
91.412097,460,3042.960197
-32.861596,179,3046.76667
81.345956,1102,3078.884618
86.639218,772,3094.816653
90.831825,500,3113.001985
92.64258,389,3121.221698
92.438556,386,3129.510413
94.953989,211,3137.954329
90.887646,510,3148.9552
73.909553,28,3149.554537
-10.558239,513,3160.588811
87.418871,720,3183.020688
95.316869,116,3185.399139
94.70583,169,3188.962393
94.243904,80,3190.723617
90.557298,523,3208.650989
14.437641,470,3218.802614
90.423549,536,3230.270566
91.452677,467,3244.280941
93.804096,79,3246.026597
91.290236,491,3256.496543
95.186397,113,3258.955342
81.817281,1068,3291.475068
-44.417374,201,3295.796552
82.818815,223,3309.136468
-7.576711,498,3319.857992
88.722158,645,3339.97115
92.871422,306,3346.517213
-2.548534,323,3353.431945
79.149252,1234,3384.946239
95.560859,147,3388.132442
92.455136,389,3396.400918
90.880143,43,3397.313901
90.409116,545,3414.594922
23.421102,841,3439.574914
89.724797,46,3440.545274
-24.540038,158,3443.967453
88.720691,104,3446.186308
93.31238,221,3450.940251
95.547657,154,3454.184534
89.493976,599,3476.124776
75.356786,983,3497.229916
86.00861,803,3522.425109
-24.648028,809,3567.397356
-49.291786,1502,3632.325016
-33.197213,814,3697.090917
83.947756,28,3697.669733
49.342403,910,3717.173562
86.044274,814,3766.400954
89.448738,589,3778.435815
89.531847,44,3779.401976
87.676001,703,3801.171715
95.559065,163,3804.713006
89.092899,625,3828.183812
89.49597,592,3840.962335
-17.103358,518,3861.117778
93.834281,239,3866.239715
87.725783,29,3866.787527
94.180527,116,3869.215017
94.919018,230,3874.141443
81.770821,1073,3906.229045
90.137579,547,3918.031024
87.243283,729,3942.06927
-14.693509,396,3950.579704
88.160636,665,3972.418899
92.922696,376,3980.515574
77.632703,1326,4022.463028
90.124989,558,4040.88342
94.226245,230,4045.866283
-20.285516,354,4053.500925
12.992252,976,4078.67614
2.827421,703,4093.87654
89.459377,249,4105.596645
95.415536,108,4107.894895
94.127762,269,4113.785025
-39.054051,220,4118.626613
87.206615,738,4139.771065
95.523579,120,4142.294117
95.06081,220,4147.057779
91.099286,493,4157.718175
92.358908,412,4174.608773
-31.794423,360,4182.3755
90.651586,518,4193.573237
91.1856,477,4230.760545
-46.986858,172,4234.418082
90.863816,512,4245.393602
88.998042,629,4266.050264
13.604139,1787,4309.001419
93.155567,115,4311.433768
-21.919031,303,4322.301758
86.514976,780,4339.061031
93.351278,357,4346.790475
89.263774,616,4369.626586
93.594996,326,4376.378803
93.222456,358,4383.999606
81.075812,1120,4415.536852
93.519472,150,4418.666744
94.149975,116,4426.895199
91.006799,502,4437.242362
92.436552,392,4445.34813
94.929932,222,4449.976311
88.593329,643,4478.756412
91.136258,481,4488.760142
90.627034,523,4510.385134
88.852378,633,4523.454272
92.602912,394,4540.901355
89.067477,248,4546.205519
87.758012,701,4560.640029
84.662395,900,4586.635467
94.773858,231,4591.498562
85.61044,842,4615.923767
70.610668,364,4623.578772
89.821742,574,4640.496419
95.171621,117,4642.854718
94.245863,267,4648.267935
1.516909,510,4658.732628
-36.730413,244,4669.625682
90.593577,527,4680.399049
85.335194,856,4704.365971
34.179836,604,4716.84432
20.404127,876,4743.754233
85.191905,862,4768.701119
93.798438,318,4775.107714
87.920931,694,4789.474157
-224.208881,2012,4886.143631
89.229149,585,4898.376131
-140.046855,445,4933.870555
-36.583574,98,4936.06576
92.826407,369,4943.67787
9.32164,276,4949.331452
-33.238027,810,4970.564825
-31.332445,2498,5056.037546
-55.281196,111,5058.260807
82.778373,1014,5086.356119
-10.570608,302,5092.470736
89.509231,587,5110.756728
89.005678,634,5123.519818
47.819934,537,5145.700185
-52.656116,95,5147.626417
84.760445,892,5165.988253
81.210576,1109,5195.980123
92.8009,51,5197.079973
89.057631,618,5216.88478
95.2956,199,5221.04447
93.732011,291,5226.937826
81.857059,1068,5257.428147
76.869138,1370,5290.294983
4.801006,233,5295.347022
93.146727,366,5312.283462
82.208526,468,5322.120668
-46.10141,266,5327.636406
88.112076,679,5347.713156
90.43413,529,5358.896514
95.349028,108,5361.109801
95.068265,202,5365.236779
89.944368,575,5385.122814
85.397213,853,5409.378962
79.091001,1238,5442.107603
85.241362,867,5459.919572
78.631594,1264,5497.074361
93.324583,94,5498.966467
83.328895,21,5499.413292
84.21755,926,5528.336266
88.696739,633,5549.084011
94.46104,71,5550.583312
95.020959,152,5553.6527
89.360014,590,5565.981789
93.914796,264,5576.736161
30.266648,759,5592.493829
92.414072,412,5600.897042
26.937982,601,5619.093223
90.75299,520,5629.751408
94.034031,262,5641.036253
94.968612,216,5645.463395
12.281902,519,5656.268952
91.111606,487,5676.233814
1.92006,364,5683.903652
92.574558,391,5691.942196
91.302441,472,5709.072352
91.694056,446,5718.46359
80.67304,186,5722.257778
17.555629,566,5733.906549
23.276475,811,5758.751165
85.04778,873,5780.817422
80.785547,1134,5808.277138
83.236501,981,5836.020533
91.202321,479,5845.86149
91.670261,456,5855.073554
94.064209,295,5861.205335
91.125158,495,5878.539265
88.724776,646,5891.88657
28.581491,515,5908.509955
85.747253,527,5919.366912
16.520865,445,5934.322411
92.265361,114,5936.893883
90.341283,528,5947.836656
94.851845,182,5951.760923
95.069124,208,5956.011884
78.046779,1302,5988.223733
90.788625,486,6004.773735
91.175427,471,6014.505495
90.076768,544,6034.149968
93.323651,329,6041.146543
95.379193,149,6044.36135
88.602165,650,6065.409611
94.686391,227,6070.340568
-18.793493,303,6076.881234
91.116091,497,6087.376007
92.470458,399,6109.451494
-26.127183,548,6121.062205
94.486659,260,6126.364106
89.028773,621,6148.405783
87.67027,710,6163.318486
94.492728,252,6174.492501
94.834088,187,6178.434982
92.00249,425,6187.339387
-13.801174,453,6196.74608
93.562145,60,6207.056567
91.165305,478,6217.249553
89.556191,582,6229.582216
88.852174,641,6250.370433
91.528355,455,6259.812886
-13.872838,519,6279.400046
